from_currency,to_currency,exchange_rate,effective_date
USD,USD,1.000000,2024-01-01
USD,EUR,0.920000,2024-01-01
USD,GBP,0.790000,2024-01-01
USD,CAD,1.350000,2024-01-01
USD,AUD,1.530000,2024-01-01
EUR,USD,1.087000,2024-01-01
EUR,EUR,1.000000,2024-01-01
EUR,GBP,0.858700,2024-01-01
EUR,CAD,1.467400,2024-01-01
EUR,AUD,1.663000,2024-01-01
GBP,USD,1.265800,2024-01-01
GBP,EUR,1.164600,2024-01-01
GBP,GBP,1.000000,2024-01-01
GBP,CAD,1.708900,2024-01-01
GBP,AUD,1.936700,2024-01-01
CAD,USD,0.740700,2024-01-01
CAD,EUR,0.681500,2024-01-01
CAD,GBP,0.585200,2024-01-01
CAD,CAD,1.000000,2024-01-01
CAD,AUD,1.133300,2024-01-01
AUD,USD,0.653600,2024-01-01
AUD,EUR,0.601300,2024-01-01
AUD,GBP,0.516300,2024-01-01
AUD,CAD,0.882400,2024-01-01
AUD,AUD,1.000000,2024-01-01
USD,EUR,0.915000,2024-07-01
USD,GBP,0.785000,2024-07-01
USD,CAD,1.370000,2024-07-01
USD,AUD,1.510000,2024-07-01
USD,USD,1.000000,2024-07-01
EUR,USD,1.092900,2024-07-01
EUR,EUR,1.000000,2024-07-01
EUR,GBP,0.857900,2024-07-01
EUR,CAD,1.497300,2024-07-01
EUR,AUD,1.650300,2024-07-01
GBP,USD,1.274000,2024-07-01
GBP,EUR,1.165600,2024-07-01
GBP,GBP,1.000000,2024-07-01
GBP,CAD,1.745200,2024-07-01
GBP,AUD,1.923600,2024-07-01
CAD,USD,0.729900,2024-07-01
CAD,EUR,0.667900,2024-07-01
CAD,GBP,0.573000,2024-07-01
CAD,CAD,1.000000,2024-07-01
CAD,AUD,1.102200,2024-07-01
AUD,USD,0.662300,2024-07-01
AUD,EUR,0.606000,2024-07-01
AUD,GBP,0.519900,2024-07-01
AUD,CAD,0.907200,2024-07-01
AUD,AUD,1.000000,2024-07-01